my father;ちち - 父
my mother;はは - 母
my parents;りょうしん - 両親
my grandfather;そふ - 祖父
my grandmother;そぼ - 祖母
my grandparents;そふぼ - 祖父母
my sibling;きょうだい - 兄弟
my older brother;あに - 兄
my younger brother;おとうと - 弟
my older sister;あね - 姉
my younger sister;いもうと - 妹
my child;こども - 子供
my son;むすこ - 息子
my daughter;むすめ - 娘
my husband 3;おっと - 夫, しゅじん - 主人, だんな - 旦那 (formal)
my wife 2;つま - 妻, かない - 家内
my family;かぞく - 家族
my relatives;しんせき - 親戚
my uncle (older than your parent);おじ - 伯父
my uncle (younger than your parent;おじ - 叔父
my aunt (older than your parent);おば - 伯母
my aunt (younger than your parent;おば - 叔母
my cousin (female);いとこ - 従姉妹
my cousin (male);いとこ - 従兄弟
my nephew;おい - 甥
my niece;めい - 姪
my grandchild;まご - 孫
my in-law;ぎりの - 義理の
my married couple, husband and wife;ふうふ - 夫婦
father;おとうさん - お父さん
mother;おかあさん - お母さん
parents;ごりょうしん - ご両親
grandfather;おじいさん - お爺さん
grandmother;おばあさん - お婆さん
grandparents;そふぼ - 祖父母
siblings;ごきょうだい - ご兄弟
older brother;おにいさん - お兄さん
younger brother;おとうとさん - 弟さん
older sister;おねえさん - お姉さん
younger sister;いもうとさん - 妹さん
child;おこさん - お子さん
son;むすこさん - 息子さん
daughter;むすめさん - 娘さん
husband;ごしゅじん - ご主人
wife;おくさん - 奥さん
family;ごかぞく - ご家族
relatives;ごしんせき - ご親戚
uncle (older than your parent);おじさん - 伯父さん
uncle (younger than your parent);おじさん - 叔父さん
aunt (older than your parent);おばさん - 伯母さん
aunt (younger than your parent);おばさん - 叔母さん
cousin (male);いとこさん - 従兄弟さん
cousin (female);いとこさん - 従姉妹さん
nephew;おいごさん - 甥御さん
niece;めいごさん - 姪御さん
grandchild;おまごさん	 - お孫さん
in-law;ぎりの - 義理の
married couple, husband and wife;ごふうふ - ご夫婦
only child;ひとりっこ - 一人っ子
friend;ともだち - 友達
boyfriend;かれし, かれ - 彼氏
girlfriend;かのじょ - 彼女