cooking, cuisine, food;りょうり - 料理
music;おんがく - 音楽
listening to music;おんがくおきくこよ
making music;さっきょくすること
karaoke;カラオケ
singing;うたをうたうこと - 歌
swimming;およぐこと - 泳ぐ
watching movies;えいがをみること - 映画
watching movies (noun/name of activity);えいがかんしょう
watching anime;アニメをみること
reading books;ほんをよむこと - 本
reading ex. books (noun/name of the activity);どくしょ - 読書
reading manga;まんがをよむこと - 漫画
drawing;えをかくこと, 絵
playing video games;ゲームをすること
taking photos, photography;しゃしんをとること - 写真
climbing mountains;やまにのぼること
playing instrument;がっきをひくこと - 楽器
playing (instrument);（。。。）をひくこと
shopping;かいものをすること - 買い物
doing meditation;めいそうすること - 瞑想
travelling;りょこうすること - 旅行