week;しゅう - 週
year;とし - 年
second;びょう - 秒
hour;じかん - 時間
minute;ふん - 分
water;みず - 水
coffee;コーヒー
beer;ビール
ice;こおり - 氷
tea;ちゃ - 茶
mother;おかあさん - お母さん
father;おとうさん - お父さん
husband;おっと - 夫
wife;つま - 妻
son;むすこ - 息子
daughter;むすめ - 娘
fish;さかな - 魚
beef;ぎゅうにく - 牛肉
pork;ぶたにく - 豚肉
chicken;とりにく - 鶏肉
kitchen;だいどころ - 台所
bathroom;バスルーム
computer;コンピューター
bed;ベッド
sofa;ソファー
nurse;かんごし - 看護師
hotel;ホテル
woman;おんなのひと - 女の人
man;おとこのひと - 男の人
girlfriend;かのじょ - 彼女
boyfriend;かれし - 彼氏
child;こども - 子供
doctor;いしゃ - 医者
teacher;せんせい - 先生
today;きょう - 今日
tomorrow;あした - 明日
yesterday;きのう - 昨日
head;あたま - 頭
rain;あめ - 雨
snow;ゆき - 雪
cloud;くも - 雲
shoe;くつ - 靴
shirt;シャツ
sock;くつした - 靴下
pants;ズボン
friend;ともだち - 友達
adult;おとな - 大人
girl;おんなのこ - 女の子
tv;テレビ
boy;おとこのこ - 男の子