rest;やすむ - 休む
cook;りょうりする - 料理する
return;かえる - 帰る
bath;ふろにはいる - 風呂に入る
sleep;ねる - 寝る
wake up;おきる - 起きる
feel;かんじる - 感じる
draw;かく - 描く
turn on;つける
arrive;つく - 着く
answer;こたえる - 答える
teach;おしえる - 教える
ask;しつもんする - 質問する
receive;もらう
plan;けいかくする - 計画する
explain;せつめいする - 説明する
can;できる
close;しめる - 閉める
buy;かう - 買う
run;はしる - 走る
want;ほしい - 欲しい
read;よむ - 読む
search;さがす - 探す
tour;りょこうする - 旅行する
put;おく - 置く
use;つかう - 使う
ride;のる - 乗る
cancel;とりけす - 取り消す
do;する
go;いく - 行く
eat;たべる - 食べる
come;くる - 来る
stand;たつ - 立つ
say;いう - 言う
call;でんわする - 電話する
laugh;わらう - 笑う
remember;おもいだす - 思い出す
make;つくる - 作る
see;みる - 見る
travel;りょこうする - 旅行する
brush;みがく - 磨く
shower;しゃわあをあびる - シャワーを浴びる
wash;あらう - 洗う
talk;はなす - 話す
open;あける - 開ける
finish;おわる - 終わる
watch;みる - 見る
study;べんきょうする - 勉強する
listen;きく - 聞く
die;しぬ - 死ぬ
wait;まつ - 待つ