every;毎 - マイ
before, ahead, previous;先 - さき
meet, society;会 - あ(う)
yen, circle, round;円 - エン
exit, leave;出 - で(る)
part, minute;分 - わ,　ブン
north;北 - きた
half, middle;半 - なか(ば), ハン
south;南 - みなみ
soil, earth, ground;土 - つち
many, frequent, much;多 - おお(い)
heaven;天 - あまつ, テン
relax, cheap, low;安 - やす(い)
few, little;少 - すく(ない)
store, shop;店 - みせ
behind, back;後 - うし(ろ)
hand;手 - て
new;新 - あたら(しい)
time, hour;時 - とき
come;来 - く(る)
east;東 - ひがし
exam, school;校 - コウ
air, mind, spirit;気 - いき, キ
white;白 - しろ(い)
eye;目 - め
company;社 - シャ
sky, air, empty;空 - そら
stand up;立 - た(つ)
hear, ask, listen;聞 - き(く)
flower;花 - はな
go;行 - い(く)
west;西 - にし
see;見 - み(る)
say;言 - い(う)
speak, talk;話 - はなし
word, language, tell;語 - ゴ
read;読 - よ(む)
buy;買 - か(う)
leg, foot;足 - あし
car;車 - くるま
road, street;道 - みち
money, gold;金 - かね, キン
long, leader;長 - なが(い)
interval, space;間 - あいだ
rain;雨 - あめ
electricity;電 - デン
eat, food;食 - た(べる)
drink;飲 - の(む)
station;駅 - エキ
tall, high, expensive;高 - たか(い)
fish;魚 - さかな