classroom;きょうしつ
words;ことば
teacher;きょうし
(speaking directly to) teacher;せんせい
Patryk are you there?;パトリックさん、いますか
yes, present;はい、います
no, absent;いいえ、いません
not yet;まだです
please listen;きいて ください
write please;かいて ください
read please;よんで ください
# page please;# ページ を あけて ください
speak please;いって ください
please look;みて ください
talk in pairs;ペア で はなして ください
i understand;わかりました
i don't understand;わかりません
it's easy;かんたんです
it's difficult;むずかしいです
it's okay;だいじょうぶです
great;じょうずです
homework;しゅくだい
it's wrong;ちがいます
it's bad, you can't do like this;だめです
almost, close;おしいです
one more time please;もういちど おねがいします
i have a question;しつもん が あります
_ what is it;_ は なんですか
please take it slowly;ゆっくり いってください
please be careful;き を つけてください