Patryk how many members are in your family?;パトリックさん の かぞく は なんにん ですか
My family has four members;私 の かぞく は よにん です。
who's in your family?;だれ が いますか
father, mother, older brother and me;ちち と はは と あに と 私 です。
two older brothers;あに ふたり
how many people? (in restaurant)(formal);なん めい さま ですか
Patryk where do you live?;パトリックさん は どこ に すんでいますか
I live in Poland in Warsaw;私 は ポーランド の ワルシャワ に すんでいます。
we;わたしたち
man;おとこ
woman;おんな
child (state);こ
man (formal);おとこのひと
woman (formal);おんなのひと
child male (formal);おとこのこ
child female (formal);おんなのこ
person;ひと
one (person);ひとり
two (person);ふたり
three (person);さんにん
four (person);よにん
five (person);ごにん
six (person);ろくにん
seven (person);ななにん
step older sister;ぎり の あね
me;私
older sister;あね
older brother;あに
younger sister;いもうと
younger brother;おとうと
mom;はは
father;ちち
grandmother;そぼ
grandfather;そふ
wife;つま
husband;おっと
child;こども
one's older sister;おねえさん
one's older brother;おにいさん
one's younger sister;いもうとさん
one's younger brother;おとうとさん
one's mom;おかあさん
one's father;おとうさん
one's grandmother;おばあさん
one's grandfather;おじいさん
one's wife;おくさん
one's husband;ごしゅじん
one's child;おこさん