blue;あおい
nine;く
here;ここ
train station;えき
up;うえ
red;あかい
umbrella;かさ
candy, sweets;おかし
chair;いす
feet, legs;あし
house;うち
shoes;くつ
hand;て
exercise, physical education;たいいく
from;から
be able to;できます
a little;すこし
and;と
or 2;か、とか
too, also;も
which _;どちら
to come;きます
cat;ねこ
flower;はな
ship, boat;ふね
meat;にく
chopsticks;はし
human, people;ひと
fish;さかな
dog;いぬ
now;いま/
living room;いま\
insect;むし
sea;うみ
god;かみ\
hair;かみ/
paper;かみ/
snow;ゆき
mountain;やま
eye;め
shopping;かいもの
circle;まる
cross;ばつ
cherry blossom;さくら
medicine;くすり
car;くるま
history;れきし
white;しろい
black;くろい
river;かわ
mandarine;みかん
map;ちず
music;おんがく
water;みず
egg;たまご
family;かぞく
letter;てがみ
key;かぎ
newspaper;しんぶん
fireworks;はなび
bag;かばん
abacus;そろばん
fire 2;び、ひ
children;こども
phone;でんわ
fruit;くだもの
me(male);ぼく
vertical;たて
horizontal;よこ
question;しつもん
answer;こたえ