Patryk are you office worker?;パトリックさん は かいしゃいん ですか。
yes, i am office worker;はい、私 は かいしゃいん です。
no, i'm not office worker. I am programmer;いええ、私 は かいしゃいん じゃない です。プログラマー です。
ohh i see;そうですか
self-introduction;じごしょうかい
name;なまえ
what's your name?;おなまえは
my name is Patryk;私　は パトリック です。
nice to meet you (first expression);はじめまして。
nice to meet you (last expression);どうぞ よろしく。
nice to meet you (last formal);よろしく おねがいします。
job;しごと
what's your job?;おしごとは
i am office worker;私 は かいしゃいん です。
student;がくせい
elementary school student(1st-6th);しょうがくせい
secondary school school(7st-9th);ちゅうがくせい
high school school(10st-12th);こうこうせい
university student;だいがくせい
teacher;きょうし
clerk;こうむいん
house wife;しゅふ
engineer;エンジニア
office worker;かいしゃいん
programmer;プログラマー